"","date","Address","pcode","County","cost","market","vat","des"
"1","02/01/2018","1 ABBEY ST, HOWTH, DUBLIN","Dublin 7","Dublin","710,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2","02/01/2018","1 ROSEVILLE, LOWER ROAD, SHANKILL","Dublin 18","Dublin","627,230.70","No","No","Second-Hand Dwelling house /Apartment"
"4","02/01/2018","236 PHIBSBORO RD, DUBLIN 7, DUBLIN","Dublin 7","Dublin","277,000.00","No","No","Second-Hand Dwelling house /Apartment"
"6","02/01/2018","34 SLANE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","325,000.00","No","No","Second-Hand Dwelling house /Apartment"
"8","02/01/2018","62 ABBERLEY APTS, ABBERLEY SQ, HIGH ST DUBLIN 24","Dublin 24","Dublin","180,000.00","No","No","Second-Hand Dwelling house /Apartment"
"9","02/01/2018","89 CROMWELLSFORT RD, WALKINSTOWN, DUBLIN 12","Dublin 12","Dublin","350,000.00","No","No","Second-Hand Dwelling house /Apartment"
"10","02/01/2018","APT 67 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3","Dublin 3","Dublin","230,000.00","No","No","Second-Hand Dwelling house /Apartment"
"13","03/01/2018","10 SHANTALLA PARK, BEAUMONT, DUBLIN 9","Dublin 9","Dublin","360,000.00","No","No","Second-Hand Dwelling house /Apartment"
"15","03/01/2018","147 KILDARE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","372,000.00","No","No","Second-Hand Dwelling house /Apartment"
"17","03/01/2018","16 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS","Dublin 11","Dublin","200,000.00","No","No","Second-Hand Dwelling house /Apartment"
"18","03/01/2018","17 WOODSTOWN LANE, KNOCKLYON, DUBLIN 16","Dublin 16","Dublin","456,000.00","No","No","Second-Hand Dwelling house /Apartment"
"20","03/01/2018","25 CASTLEKNOCK DOWNS, DUBLIN 15, DUBLIN","Dublin 15","Dublin","342,000.00","No","No","Second-Hand Dwelling house /Apartment"
"23","03/01/2018","40 HERBERT PARK, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","2,725,000.00","No","No","Second-Hand Dwelling house /Apartment"
"25","03/01/2018","61 CROMCASTLE RD, KILMORE WEST, COOLOCK DUBLIN 5","Dublin 5","Dublin","302,500.00","No","No","Second-Hand Dwelling house /Apartment"
"27","03/01/2018","65 COLLEGEFORT, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","245,000.00","No","No","Second-Hand Dwelling house /Apartment"
"29","03/01/2018","APT 18, MARYLAND HOUSE BEECHFIELD HAVEN, SHANKILL","Dublin 18","Dublin","305,000.00","No","No","Second-Hand Dwelling house /Apartment"
"30","03/01/2018","APT 4, 39 LOWER DORSET ST, DUBLIN","Dublin 1","Dublin","197,000.00","No","No","Second-Hand Dwelling house /Apartment"
"32","04/01/2018","1 MAPLE, HAZELDENE, DONNYBROOK DUBLIN 4","Dublin 4","Dublin","765,000.00","No","No","Second-Hand Dwelling house /Apartment"
"33","04/01/2018","1 PARK HOUSE, WILLANS DR, ONGAR GREEN DUBLIN 15","Dublin 15","Dublin","143,000.00","No","No","Second-Hand Dwelling house /Apartment"
"34","04/01/2018","101 COOLEY RD, DRIMNAGH, DUBLIN 12","Dublin 12","Dublin","290,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"35","04/01/2018","11 WARRENMOUNT PLACE, BLACKPITTS, DUBLIN 8","Dublin 8","Dublin","365,000.00","No","No","Second-Hand Dwelling house /Apartment"
"36","04/01/2018","120 DOWLAND RD, WALKINSTOWN, DUBLIN 12","Dublin 12","Dublin","307,000.00","No","No","Second-Hand Dwelling house /Apartment"
"37","04/01/2018","14 Willow House, Silverbanks, Baldoyle","Dublin 13","Dublin","219,512.20","No","Yes","New Dwelling house /Apartment"
"39","04/01/2018","16 CRESTFIELD AVE, WHITEHALL, DUBLIN 9","Dublin 9","Dublin","460,000.00","No","No","Second-Hand Dwelling house /Apartment"
"40","04/01/2018","16 Grace Park Grove, Grace Park Wood, Grace Park Road","Dublin 9","Dublin","453,744.00","No","Yes","New Dwelling house /Apartment"
"41","04/01/2018","16 ST JOSEPHS SQ, CLONTARF, DUBLIN 3","Dublin 3","Dublin","395,000.00","No","No","Second-Hand Dwelling house /Apartment"
"42","04/01/2018","180 BEAUVALE PARK, ARTANE, DUBLIN 5","Dublin 5","Dublin","350,000.00","No","No","Second-Hand Dwelling house /Apartment"
"43","04/01/2018","21 CAIRNWOOD COURT, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","260,000.00","No","No","Second-Hand Dwelling house /Apartment"
"44","04/01/2018","21 THE PARK, BEAUMONT WOODS, BEAUMONT DUBLIN 9","Dublin 9","Dublin","420,000.00","No","No","Second-Hand Dwelling house /Apartment"
"46","04/01/2018","28 HAZELWOOD COURT, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","250,000.00","No","No","Second-Hand Dwelling house /Apartment"
"47","04/01/2018","32 ABBEY PARK, KILLESTER, DUBLIN 5","Dublin 5","Dublin","400,000.00","No","No","Second-Hand Dwelling house /Apartment"
"48","04/01/2018","32 Dodderbrook Drive, Dublin 24","Dublin 24","Dublin","370,000.00","No","Yes","New Dwelling house /Apartment"
"50","04/01/2018","365 CLOGHER ROAD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","270,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"51","04/01/2018","38 The Green, The Paddocks, Hansfield","Dublin 15","Dublin","286,343.60","No","Yes","New Dwelling house /Apartment"
"52","04/01/2018","39 THE RED MILL, NORTH BRUNSWICK ST, DUBLIN 7","Dublin 7","Dublin","203,778.00","No","No","Second-Hand Dwelling house /Apartment"
"53","04/01/2018","40A ARAS NA CLUAINE, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","115,000.00","No","No","Second-Hand Dwelling house /Apartment"
"55","04/01/2018","5  Willow House, Silverbanks, The Coast","Dublin 13","Dublin","140,969.16","No","Yes","New Dwelling house /Apartment"
"56","04/01/2018","61 BROOKFIELD EST, KIMMAGE CROSS RD, DUBLIN 12","Dublin 12","Dublin","445,000.00","No","No","Second-Hand Dwelling house /Apartment"
"57","04/01/2018","65 CHRISTCHURCH VIEW, NICHOLAS ST, DUBLIN 8","Dublin 8","Dublin","345,000.00","No","No","Second-Hand Dwelling house /Apartment"
"60","04/01/2018","90 MOUNT GARRETT PARK, TYRRELSTOWN, DUBLIN 15","Dublin 15","Dublin","175,000.00","No","No","Second-Hand Dwelling house /Apartment"
"62","04/01/2018","APT 9 GROUND FLOOR, TIMBER MILL, ARTANE DUBLIN 5","Dublin 5","Dublin","249,000.00","No","No","Second-Hand Dwelling house /Apartment"
"64","05/01/2018","11 Hollywood Rath Park, Hollystown","Dublin 15","Dublin","341,409.00","No","Yes","New Dwelling house /Apartment"
"65","05/01/2018","12 Grace Park way, Grace Park Wood, Grace Park Road","Dublin 9","Dublin","418,502.20","No","Yes","New Dwelling house /Apartment"
"67","05/01/2018","121 IVERAGH RD, GAELTACHT PARK, DUBLIN 9","Dublin 9","Dublin","193,800.00","Yes","No","Second-Hand Dwelling house /Apartment"
"69","05/01/2018","16 SPRINGBANK, SAGGART, DUBLIN","Dublin 24","Dublin","320,000.00","No","No","Second-Hand Dwelling house /Apartment"
"70","05/01/2018","19 GLANDORE RD, DRUMCONDRA, DUBLIN CITY","Dublin 9","Dublin","375,000.00","No","No","Second-Hand Dwelling house /Apartment"
"71","05/01/2018","19 GRANGEVIEW PLACE, GRANGEVIEW, CLONDALKIN DUBLIN 22","Dublin 22","Dublin","191,000.00","No","No","Second-Hand Dwelling house /Apartment"
"72","05/01/2018","19 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3","Dublin 3","Dublin","765,000.00","No","No","Second-Hand Dwelling house /Apartment"
"73","05/01/2018","19 PARK HOUSE, BENSON ST, DUBLIN 2","Dublin 2","Dublin","410,000.00","No","No","Second-Hand Dwelling house /Apartment"
"74","05/01/2018","2 SUNDALE PARADE, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","255,000.00","No","No","Second-Hand Dwelling house /Apartment"
"75","05/01/2018","21 CASTLEGRANGE DR, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","300,000.00","No","No","Second-Hand Dwelling house /Apartment"
"76","05/01/2018","21 DUNAWLEY DR, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","271,000.00","No","No","Second-Hand Dwelling house /Apartment"
"77","05/01/2018","26 DERRYNANE GARDENS, BATH AVE, SANDYMOUNT","Dublin 4","Dublin","580,000.00","No","No","Second-Hand Dwelling house /Apartment"
"79","05/01/2018","33 HUNTSTOWN DRIVE, MULHUDDART, DUBLIN 15","Dublin 15","Dublin","261,100.00","No","No","Second-Hand Dwelling house /Apartment"
"80","05/01/2018","33 RAVENSDALE DR, KIMMAGE, DUBLIN 12","Dublin 12","Dublin","500,000.00","No","No","Second-Hand Dwelling house /Apartment"
"81","05/01/2018","39 SITRIC RD, STONEYBATTER, DUBLIN 7","Dublin 7","Dublin","335,000.00","No","No","Second-Hand Dwelling house /Apartment"
"82","05/01/2018","39 The Green, The Paddocks, Hansfield","Dublin 15","Dublin","290,748.00","No","Yes","New Dwelling house /Apartment"
"83","05/01/2018","4 THE CLOSE, WOODPARK, BALLINTEER DUBLIN 16","Dublin 16","Dublin","525,000.00","No","No","Second-Hand Dwelling house /Apartment"
"85","05/01/2018","43 LORCAN GROVE, SANTRY, DUBLIN 9","Dublin 9","Dublin","170,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"87","05/01/2018","5 HARBOUR VIEW, HOWTH, DUBLIN 13","Dublin 13","Dublin","50,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"88","05/01/2018","6 ASHLEIGH COURT, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","281,500.00","No","No","Second-Hand Dwelling house /Apartment"
"89","05/01/2018","6 DEERPARK LODGE, KILTIPPER, DUBLIN 24","Dublin 24","Dublin","156,500.00","No","No","Second-Hand Dwelling house /Apartment"
"90","05/01/2018","60 GRIFFITH PARADE, BALLYGALL RD EAST, DUBLIN 11","Dublin 11","Dublin","280,000.00","No","No","Second-Hand Dwelling house /Apartment"
"91","05/01/2018","619 CLONARD RD, KIMMAGE, DUBLIN 12","Dublin 12","Dublin","652,000.00","No","No","Second-Hand Dwelling house /Apartment"
"92","05/01/2018","69 ROCKFIELD AVE, TERENURE, DUBLIN 12","Dublin 12","Dublin","545,000.00","No","No","Second-Hand Dwelling house /Apartment"
"96","05/01/2018","9 POOLE ST, PIMBLICO, DUBLIN 8","Dublin 8","Dublin","120,000.00","No","No","Second-Hand Dwelling house /Apartment"
"97","05/01/2018","APT 102, ROYAL CANAL COURT, ROYAL CANAL WAY DUBLIN 15","Dublin 15","Dublin","215,000.00","No","No","Second-Hand Dwelling house /Apartment"
"98","05/01/2018","APT 12 SUTTON CASTLE, SHIELMARTIN ROAD, SUTTON","Dublin 13","Dublin","640,000.00","No","No","Second-Hand Dwelling house /Apartment"
"103","06/01/2018","72 BRACKEN HILL, SANDYFORD, DUBLIN 18","Dublin 18","Dublin","212,500.00","No","No","Second-Hand Dwelling house /Apartment"
"106","08/01/2018","10 ROBERT ST, DUBLIN 8, DUBLIN","Dublin 8","Dublin","190,000.00","No","No","Second-Hand Dwelling house /Apartment"
"107","08/01/2018","10 THE MOORINGS, PORTOBELLO HARBOUR, DUBLIN 8","Dublin 8","Dublin","285,000.00","No","No","Second-Hand Dwelling house /Apartment"
"108","08/01/2018","108 WHEATFIELD RD, PALMERSTOWN, DUBLIN 20","Dublin 20","Dublin","230,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"110","08/01/2018","12 ALEXANDRA WALK, PETER ST, DUBLIN 8","Dublin 8","Dublin","300,000.00","No","No","Second-Hand Dwelling house /Apartment"
"111","08/01/2018","12 Beechwood Gate, Beechwood, Hansfield","Dublin 15","Dublin","301,101.00","No","Yes","New Dwelling house /Apartment"
"113","08/01/2018","12 HIGH ST, BALBRIGGAN, DUBLIN","Dublin 15","Dublin","200,000.00","No","No","Second-Hand Dwelling house /Apartment"
"115","08/01/2018","16A BALLSBRIDGE AVE, BALLSBRIDGE, DUBLIN","Dublin 4","Dublin","1,260,000.00","No","No","Second-Hand Dwelling house /Apartment"
"116","08/01/2018","19 DOWNPATRICK ROAD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","269,000.00","No","No","Second-Hand Dwelling house /Apartment"
"118","08/01/2018","2 BETTYS TOWN AVE, HOWTH RD, RAHENY DUBLIN 5","Dublin 5","Dublin","515,000.00","No","No","Second-Hand Dwelling house /Apartment"
"119","08/01/2018","2 MOUNT PROSPECT LAWNS, CLONTARF, DUBLIN 3","Dublin 3","Dublin","825,000.00","No","No","Second-Hand Dwelling house /Apartment"
"120","08/01/2018","20 SHANDON PARK, PHIBSBOROUGH, DUBLIN 7","Dublin 7","Dublin","550,000.00","No","No","Second-Hand Dwelling house /Apartment"
"121","08/01/2018","23 Elder Heath Grove, Elder Heath, Kiltipper Road","Dublin 24","Dublin","255,600.00","No","Yes","New Dwelling house /Apartment"
"122","08/01/2018","3 KERRYMOUNT RISE, FOXROCK, DUBLIN 18","Dublin 18","Dublin","685,000.00","No","No","Second-Hand Dwelling house /Apartment"
"123","08/01/2018","30 CLANCY RD, FINGLAS, DUBLIN 11","Dublin 11","Dublin","350,000.00","No","No","Second-Hand Dwelling house /Apartment"
"124","08/01/2018","33 Birch House, Silverbanks, Baldoyle","Dublin 13","Dublin","149,780.00","No","Yes","New Dwelling house /Apartment"
"126","08/01/2018","36 BEAUMONT AVE, CHURCHTOWN, DUBLIN 14","Dublin 14","Dublin","455,000.00","No","No","Second-Hand Dwelling house /Apartment"
"127","08/01/2018","37 LANESBOROUGH COURT, FINGLAS, DUBLIN 11","Dublin 11","Dublin","200,000.00","No","No","Second-Hand Dwelling house /Apartment"
"129","08/01/2018","410 GALTYMORE RD, DRIMNAGH, DUBLIN 12","Dublin 12","Dublin","310,000.00","No","No","Second-Hand Dwelling house /Apartment"
"130","08/01/2018","48 HARCOURT LODGE, SOUTHERN CROSS AVE, INCHICORE DUBLIN 8","Dublin 8","Dublin","345,000.00","No","No","Second-Hand Dwelling house /Apartment"
"132","08/01/2018","66 BEECHWOOD LAWNS, RATHCOOLE, DUBLIN 24","Dublin 24","Dublin","354,000.00","No","No","Second-Hand Dwelling house /Apartment"
"133","08/01/2018","79 KILCRONAN AVE, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","217,000.00","No","No","Second-Hand Dwelling house /Apartment"
"135","08/01/2018","8 Grace Park Way, Grace Park Wood, Grace Park Road","Dublin 9","Dublin","418,502.00","No","Yes","New Dwelling house /Apartment"
"136","08/01/2018","89 BANNOW RD, CABRA WEST, DUBLIN 7","Dublin 7","Dublin","299,950.00","No","No","Second-Hand Dwelling house /Apartment"
"137","08/01/2018","93 CARNLOUGH RD, CABRA RD, CABRA DUBLIN 7","Dublin 7","Dublin","230,000.00","No","No","Second-Hand Dwelling house /Apartment"
"138","08/01/2018","APT 11 ST PETERS SQ, PHIBSBORO PLACE, PHIBSBORO DUBLIN 7","Dublin 7","Dublin","207,500.00","No","No","Second-Hand Dwelling house /Apartment"
"139","08/01/2018","APT 18, EATON GREEN, MAIN ST","Dublin 24","Dublin","212,000.00","No","No","Second-Hand Dwelling house /Apartment"
"140","08/01/2018","APT 75, WYCKHAM PLACE, WYCKHAM WAY DUBLIN 16","Dublin 16","Dublin","382,500.00","No","No","Second-Hand Dwelling house /Apartment"
"141","08/01/2018","Brookwood Lodge, Glenamuck Road South, Carrickmines","Dublin 18","Dublin","792,951.54","No","Yes","New Dwelling house /Apartment"
"142","08/01/2018","COOLMANAGH, 75CARRICKBREAC RD, BAILY DUBLIN 13","Dublin 13","Dublin","1,620,000.00","No","No","Second-Hand Dwelling house /Apartment"
"144","08/01/2018","MOUNTEAGLE HOUSE, KILGOBBIN RD, SANDYFORD DUBLIN 18","Dublin 18","Dublin","1,675,000.00","No","No","Second-Hand Dwelling house /Apartment"
"148","09/01/2018","1 ORCHARD RD, OFF CLONIFF RD, BALLYBOUGH","Dublin 3","Dublin","210,000.00","No","No","Second-Hand Dwelling house /Apartment"
"149","09/01/2018","1 The Way, Citywest Village, Citywest","Dublin 24","Dublin","286,343.00","No","Yes","New Dwelling house /Apartment"
"150","09/01/2018","131 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15","Dublin 15","Dublin","225,000.00","No","No","Second-Hand Dwelling house /Apartment"
"151","09/01/2018","14 KILBARRACK GROVE, KILBARRACK, DUBLIN 5","Dublin 5","Dublin","575,000.00","No","No","Second-Hand Dwelling house /Apartment"
"152","09/01/2018","15 AILESBURY PARK, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","2,500,000.00","No","No","Second-Hand Dwelling house /Apartment"
"153","09/01/2018","17 WILLOW WOOD GREEN, HARTSTOWN, DUBLIN 15","Dublin 15","Dublin","277,000.00","No","No","Second-Hand Dwelling house /Apartment"
"154","09/01/2018","19 Terenure Gate, Terenure, Dublin 6w","Dublin 6w","Dublin","691,629.94","No","Yes","New Dwelling house /Apartment"
"158","09/01/2018","2 MILLRACE WALK, SAGGART, DUBLIN","Dublin 24","Dublin","275,000.00","No","No","Second-Hand Dwelling house /Apartment"
"160","09/01/2018","226 THE RICHMOND, NORTH BRUNSWICK ST, DUBLIN 7","Dublin 7","Dublin","320,000.00","No","No","Second-Hand Dwelling house /Apartment"
"161","09/01/2018","23 Beechwood Gate, Beechwood, Hansfield","Dublin 15","Dublin","277,533.00","No","Yes","New Dwelling house /Apartment"
"164","09/01/2018","38 ST KEVINS PARK, DARTRY, DUBLIN 6","Dublin 6","Dublin","1,650,000.00","No","No","Second-Hand Dwelling house /Apartment"
"165","09/01/2018","40 ASHBROOK, HOWTH RD, CLONTARF DUBLIN 3","Dublin 3","Dublin","637,500.00","No","No","Second-Hand Dwelling house /Apartment"
"166","09/01/2018","45 THE ROWAN, ROCKFIELD, DUNDRUM","Dublin 16","Dublin","350,000.00","No","No","Second-Hand Dwelling house /Apartment"
"167","09/01/2018","57 MOUNT DRUMMOND SQ, HAROLDS CROSS, DUBLIN 6","Dublin 6","Dublin","482,000.00","No","No","Second-Hand Dwelling house /Apartment"
"169","09/01/2018","7 DodderBrook Avenue, Old Court Road, BALLYCULLEN DUBLIN 24","Dublin 24","Dublin","343,612.32","No","Yes","New Dwelling house /Apartment"
"170","09/01/2018","95 THE GREEN, BEAUMONT WOODS, BEAUMONT DUBLIN 9","Dublin 9","Dublin","330,000.00","No","No","Second-Hand Dwelling house /Apartment"
"171","09/01/2018","APT 37A, LANSDOWNE VALLEY, SLIEVEBLOOM RD DUBLIN 12","Dublin 12","Dublin","225,000.00","No","No","Second-Hand Dwelling house /Apartment"
"173","09/01/2018","Unit 56  Block A, Orwell Gate, Marianella","Dublin 6","Dublin","660,793.00","No","Yes","New Dwelling house /Apartment"
"175","10/01/2018","10 THE CRESCENT, BODEN PARK, RATHFARNHAM DUBLIN 14","Dublin 16","Dublin","450,000.00","No","No","Second-Hand Dwelling house /Apartment"
"176","10/01/2018","113 SEVEN OAKS, SARSFIELD RD, DUBLIN 10","Dublin 10","Dublin","60,719.14","Yes","No","Second-Hand Dwelling house /Apartment"
"179","10/01/2018","14 Hollywoodrath Road, Hollystown, Dublin","Dublin 15","Dublin","352,423.00","No","Yes","New Dwelling house /Apartment"
"180","10/01/2018","153 ARDMORE DR, ARTANE, DUBLIN 5","Dublin 5","Dublin","420,000.00","No","No","Second-Hand Dwelling house /Apartment"
"181","10/01/2018","16 MC MAHON ST, SOUTH CIRCULAR RD, DUBLIN 8","Dublin 8","Dublin","525,000.00","No","No","Second-Hand Dwelling house /Apartment"
"186","10/01/2018","19 RIVERWOOD CHASE, CARPENTERSTOWN, DUBLIN 15","Dublin 15","Dublin","422,000.00","No","No","Second-Hand Dwelling house /Apartment"
"189","10/01/2018","223 RICHMOND COURT, DARTRY, DUBLIN 6","Dublin 6","Dublin","395,000.00","No","No","Second-Hand Dwelling house /Apartment"
"190","10/01/2018","254 DELWOOD RD, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","477,500.00","No","No","Second-Hand Dwelling house /Apartment"
"191","10/01/2018","26 CLUNE RD, FINGLAS EAST, DUBLIN 11","Dublin 11","Dublin","295,000.00","No","No","Second-Hand Dwelling house /Apartment"
"192","10/01/2018","26 THE PARK, BEAUMONT WOODS, BEAUMONT DUBLIN 9","Dublin 9","Dublin","420,000.00","No","No","Second-Hand Dwelling house /Apartment"
"194","10/01/2018","28 Parkside Boulevard, Malahide Road, Dublin 13","Dublin 13","Dublin","352,423.00","No","Yes","New Dwelling house /Apartment"
"195","10/01/2018","29 GRAY ST, DUBLIN 8, DUBLIN","Dublin 8","Dublin","401,000.00","No","No","Second-Hand Dwelling house /Apartment"
"196","10/01/2018","3 COOLMINE MEWS, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","365,000.00","No","No","Second-Hand Dwelling house /Apartment"
"197","10/01/2018","31 AILESBURY MEWS, AILESBURY GARDENS, SANDYMOUNT DUBLIN 4","Dublin 4","Dublin","250,000.00","No","No","Second-Hand Dwelling house /Apartment"
"198","10/01/2018","31 ST PETERS SQ, PHIBSBORO, DUBLIN 7","Dublin 7","Dublin","198,000.00","No","No","Second-Hand Dwelling house /Apartment"
"200","10/01/2018","39 SEVEN OAK, SARSFIELD ROAD, BALLYFERMOT","Dublin 10","Dublin","68,481.51","Yes","No","Second-Hand Dwelling house /Apartment"
"201","10/01/2018","40 CORN EXCHANGE, POOLBEG ST, DUBLIN 2","Dublin 2","Dublin","315,601.00","No","No","Second-Hand Dwelling house /Apartment"
"202","10/01/2018","40 THE CRESCENT MILLBROOK LAWNS, TALLAGHT DUBLIN 2, DUBLIN","Dublin 15","Dublin","280,000.00","No","No","Second-Hand Dwelling house /Apartment"
"203","10/01/2018","44 DEERPARK PLACE, KILTIPPER WAY, DUBLIN 24","Dublin 24","Dublin","175,000.00","No","No","Second-Hand Dwelling house /Apartment"
"204","10/01/2018","45 BELGROVE LAWN, CHAPELIZOD, DUBLIN 20","Dublin 20","Dublin","545,000.00","No","No","Second-Hand Dwelling house /Apartment"
"205","10/01/2018","45 ORWELL GATE, Marianella, RATHGAR","Dublin 6","Dublin","523,325.00","No","Yes","New Dwelling house /Apartment"
"207","10/01/2018","50 BERRYS CLOSE SPA RD, INCHICORE DUBLIN 8, DUBLIN","Dublin 8","Dublin","68,119.83","Yes","No","Second-Hand Dwelling house /Apartment"
"208","10/01/2018","50 CULLENSWOOD APTS, NORTHBROOK AVE, RANELAGH DUBLIN 6","Dublin 6","Dublin","150,000.00","No","No","Second-Hand Dwelling house /Apartment"
"210","10/01/2018","52 CULLENSWOOD HOUSE, NORTHBROOK AVE, RANELAGH DUBLIN 6","Dublin 6","Dublin","150,000.00","No","No","Second-Hand Dwelling house /Apartment"
"211","10/01/2018","53 CANON HALL, CHURCH ST EAST, DUBLIN 3","Dublin 3","Dublin","340,000.00","No","No","Second-Hand Dwelling house /Apartment"
"212","10/01/2018","6 EDWARD PLACE, BLOOMFIELD AVE, DONNYBROOK","Dublin 4","Dublin","420,000.00","No","No","Second-Hand Dwelling house /Apartment"
"213","10/01/2018","61 Orwell Gate, Block A, Marianella","Dublin 6","Dublin","472,488.00","No","Yes","New Dwelling house /Apartment"
"214","10/01/2018","7 DAVID PARK, WHITWORTH RD, DRUMCONDRA DUBLIN 9","Dublin 9","Dublin","347,000.00","No","No","Second-Hand Dwelling house /Apartment"
"215","10/01/2018","71 GOLDENBRIDGE AVE, INCHICORE, DUBLIN 8","Dublin 8","Dublin","306,000.00","No","No","Second-Hand Dwelling house /Apartment"
"216","10/01/2018","72 MONTROSE CRESCENT, ARTANE, DUBLIN 5","Dublin 5","Dublin","414,000.00","No","No","Second-Hand Dwelling house /Apartment"
"217","10/01/2018","88 KILDARE RD, CRUMLIN DUBLIN 12, DUBLIN","Dublin 12","Dublin","84,846.08","Yes","No","Second-Hand Dwelling house /Apartment"
"220","10/01/2018","APT 1, VERCHOYLE HOUSE, STEPHENS LANE DUBLIN 2","Dublin 2","Dublin","100,000.00","No","No","Second-Hand Dwelling house /Apartment"
"221","10/01/2018","APT 36, GLASLYN, HOWTH RD DUBLIN 3","Dublin 3","Dublin","385,000.00","No","No","Second-Hand Dwelling house /Apartment"
"222","10/01/2018","APT 66, 16 KINGS INNS ST, DUBLIN 1","Dublin 1","Dublin","355,000.00","No","No","Second-Hand Dwelling house /Apartment"
"223","10/01/2018","APT 6, VERCHOYLE HOUSE, STEPHENS LANE DUBLIN 2","Dublin 2","Dublin","100,000.00","No","No","Second-Hand Dwelling house /Apartment"
"225","10/01/2018","SARINA, 429 GRIFFITH AVE, GLASNEVIN DUBLIN 9","Dublin 9","Dublin","785,000.00","No","No","Second-Hand Dwelling house /Apartment"
"226","10/01/2018","Unit 27 Parkside Boulevard, Parkside, Malahide Road","Dublin 13","Dublin","350,200.00","No","Yes","New Dwelling house /Apartment"
"227","11/01/2018","103 BOTHAR CHLANN RAGHNAILL, DOMHNACH CEARNA, BAC 5 DUBLIN 5","Dublin 5","Dublin","373,000.00","No","No","Second-Hand Dwelling house /Apartment"
"228","11/01/2018","107 STONEPARK ABBEY, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","550,000.00","No","No","Second-Hand Dwelling house /Apartment"
"229","11/01/2018","126 SHELMARTIN AVE, MARINO, DUBLIN 3","Dublin 3","Dublin","420,000.00","No","No","Second-Hand Dwelling house /Apartment"
"230","11/01/2018","14 GRACEFIELD AVE, ARTANE, DUBLIN 5","Dublin 5","Dublin","475,000.00","No","No","Second-Hand Dwelling house /Apartment"
"233","11/01/2018","17 RUSSELL AVE, EAST WALL, DUBLIN 3","Dublin 3","Dublin","240,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"235","11/01/2018","2 TEMPLEVIEW WALK, CLAREHALL, MALAHIDE RD DUBLIN 13","Dublin 13","Dublin","330,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"236","11/01/2018","20 AUBURN AVE, DONNYBROOK, DUBLIN 4","Dublin 4","Dublin","880,000.00","No","No","Second-Hand Dwelling house /Apartment"
"237","11/01/2018","23 ROSEDALE CLOSE, NAVAN RD, DUBLIN 15","Dublin 15","Dublin","200,000.00","No","No","Second-Hand Dwelling house /Apartment"
"238","11/01/2018","3 FORBES LANE, DUBLIN 8, DUBLIN","Dublin 8","Dublin","260,000.00","No","No","Second-Hand Dwelling house /Apartment"
"240","11/01/2018","3A DERRYNANE GARDENS, SANDYMOUNT, DUBLIN 4","Dublin 4","Dublin","665,000.00","No","No","Second-Hand Dwelling house /Apartment"
"241","11/01/2018","43 CAMDEN LOCK, GRAND CANAL QUAY, RINGSEND DUBLIN 4","Dublin 4","Dublin","497,000.00","No","No","Second-Hand Dwelling house /Apartment"
"242","11/01/2018","6 RATHBORNE PLACE, ASHTOWN, DUBLIN 15","Dublin 15","Dublin","330,000.00","No","No","Second-Hand Dwelling house /Apartment"
"243","11/01/2018","63 ST ALBANS PARK, SANDYMOUNT, DUBLIN 4","Dublin 4","Dublin","725,250.00","No","No","Second-Hand Dwelling house /Apartment"
"244","11/01/2018","64 ST CONLETHS RD, WALKINSTOWN DUBLIN 12, DUBLIN","Dublin 12","Dublin","336,000.00","No","No","Second-Hand Dwelling house /Apartment"
"245","11/01/2018","65 DUNSINK DR, FINGLAS, DUBLIN 11","Dublin 11","Dublin","195,000.00","No","No","Second-Hand Dwelling house /Apartment"
